Autore,Titolo,Editore,Classificazione
Paolo Rumiz,Appia,Feltrinelli,Archeologia
Caio Giulio Cesare,La guerra gallica,BUR,Storia
Aristotele,Poetica,Laterza,Filosofia
Philippe Even,Colestdrolo tutta la verità,Tecniche Nuove,Medicina
Barbara H. Roberts,La verità sul colesterolo,Edizioni punto d'incontro,Medicina
Massimo Cacciari,La mente inquieta,Einaudi,Filosofia
Chiara Mercuri,DANTE - una vita in esilio,Laterza,Storia
Massimo Bacale - Piera Borghetti,Etiopia - il cuore antico dell'Africa,Polaris,Viaggi
Francesco Piazzi,Lessico essenziale di Latino,Cappelli Editore,Lingue
Johannes Nathan - Frank Zoller,Leonardo da Vinci - The Graphic Work,TASCHEN,Arte
E. H. Gombrich,La Storia dell'Arte,Phaidon,Arte
Gilles Neret,Renoir,Taschen,Arte
Yuval Noah Harari,"Sapiens, Da animali a dei",Bompiani,Storia
Angelo del Boca,Gli italiani in Libia - dal fascismo a Gheddafi,,Storia
Angelo del Boca,Gli italiani in Libia 1860-1922,,Storia
Giordano Bruno,De Umbris Idearum,Di Renzo Editore,Saggi
Umberto Eco,Migrazioni e intolleranza,La Nave di Teseo,Saggi
Federico Finchelstein,Dai Fascismi ai Populismi,Donzelli Editore,Saggi
Giuseppe Catozzella,Non dirmi che hai paura,Feltrinelli,Romanzo
Carlo Levi,Cristo si è fermato a Eboli,Einaudi,Romanzo
Franco Berrino,Ventuno giorni per rinascere,Mondadori,Salute
Jon Erickson,L'arte dell'hacking,Apogeo,Informatica
Justin Seitz,Python per hacker,Edizioni LSWR,Informatica
Peter Norton,Le Reti,Apogeo,Informatica
Fred Butzen,The Linux Network,The M&T Books Slackware series,Informatica
"Gordon ""Fyodor"" Lyon",NMAP Network Scanning,Nmap.org,Informatica
Stuart McClure,Hacker 7.0,Apogeo,Informatica
Marco Buttu,Programmare con Python,pro DigitalLifeStype,Informatica
Thomas Hobbes,Leviatano,Bompiani,Filosofia
PLUTO Linux User Group,Linux How To,Apogeo,Informatica
Joe Brockmeier,Slackware Linux 7,PRIMA TECH,Informatica
Michael Kofler,MySQL5 Guida Completa,Apogeo,Informatica
"Alessandro Vespignani, Rosita Rijitano",L'algoritmo e l'oracolo,Il Saggiatore,Saggi
Guido Saraceni,Fuoco è tutto ciò che siamo,Sperling $ Kupfer,Romanzo
Paolo Rumiz,Il filo infinito,Feltrinelli,Storia
Andrea Vitali,"Documenti, prego",Einaudi,Romanzo
Valerio Massimo Manfredi,Il mio nome è nessuno,Mondadori,Romanzo
vari,Sicilia,Touring Club Italiano,Viaggi
Andrea Camilleri,Il cuoco dell'Alcyon,Sellerio,Romanzo
Hans Fallada,Ognuno muore solo,Sellerio,Romanzo
Giorgio Colli,La nascita della filosofia,Adelphi,Filosofia
Annette Hess,L'interprete,Neri Pozza BLOOM,Romanzo
Primo Levi,"Se non ora, quando?",Einaudi,Romanzo
Primo Levi,I sommersi e i salvati,Einaudi,Romanzo
Primo Levi,La tregua,Einaudi,Romanzo
Primo Levi,Il sistema periodico,Einaudi,
Primo Levi,La chiave a stella,Einaudi,Romanzo
Concita De Gregorio,Nella Notte,Feltrinelli,Romanzo
H. Schildt,C guida tascabile,McGrawHill,Informatica
Marco Beri,Python,Apogeo,Informatica
Michel Stutz,Linux guida pratica,Mondadori,Informatica
Joseph Roth,La Cripta dei Cappuccini,Adelphi,Romanzo
Felice Benuzzi,No Picnic On Mount Kenya,Maclehose Press,Romanzo
Cacciari ++,Barbarie,BUR,Saggi
"Giuseppe Lo Bianco, Sandra Rizza",L'agenda rossa di Paolo Borsellino,Chiarelettere,Storia
Salvatore Petrotto,Il sistema montante,Bonfirraro editore,Attualita
Johann Wolgang Goethe,Viaggio in Sicilia,Libri mediterranei,Storia
Vari,Federico II e il suo tempo,Edizioni di storia e studi sociali,Storia
Mauro Biglino,Il libro che cambierà per sempre le nostre idee sulla bibbia,Editori UNO,Storia
Mauro Biglino,La Bibbia non parla di Dio,Mondadori,Storia
Giovanni Boccaccio,Decameron,Crescere edizioni,Classici
Ian McEwan,My Purple Scented Novel,Vintage,Racconti
Ian McEwan,Machines like me,Jonathan Cape,Romanzo
Cicerone,De Senectute De Amicitia,Mondadori,Classici
Claudio Rendina,La grande guida dei monumenti di Roma,Newton Compton,Archeologia
Claudio Rendina,Guida insolita di Roma,Newton Compton,Archeologia
Maurizio Viroli,Nazionalisti e Patrioti,Laterza,Saggi
Chiara Mercuri,"Francesco d'Assisi, la storia negata",Laterza,Storia
Alessandro Mulieri,Democrazia Totalitaria,Donzelli Editore,Saggi
Howard M. Berlin,La progettazione dei circuiti amplificaori operazionali,Jackson Italiana Editrice,Elettronica
Howard M. Berlin,La progettazione dei filtri attivi,Jackson Italiana Editrice,Elettronica
Walter Veltroni,Assassinio a Villa Borghese,Marsilio Lucciole,Gialli
Indro Montanelli,Storia di Roma,Rizzoli,Storia
Luciano Lozio,Microbiota Intestinale,Tecniche nuove,Medicina
Paolo Naso,Le religioni sono vie di pace,Laterza,Saggi
Edward Snowen,Errore di sistema,Longanesi,Autobiografico
Elena Pigozzi,Come difendersi dai Romani,Demetra,Humor
Jonah Goldberg,Miracolo e Suicidio dell'Occidente,Liberilibri,Politica
Fabio Cusimano,Modo di legare i libri,Officina Studi Medievali,Hobby
Zap e Ida,Wikibolario,Dario Flaccovio Editore,Humor
Andrea Camilleri,Autodifesa di Caino,Sellerio,Teatro
Italo Svevo,Una Vita,Garzanti,Romanzo
Italo Svevo,La Coscienza di Zeno,Feltrinelli,Romanzo
Italo Svevo,Senilità,Feltrinelli,Romanzo
"Guillaume Sorel, Christine Coste","Praga, Itinerari d'autore",EDT,Viaggi
Michelin,Praga,Michelin,Viaggi
Nigel Pavitt,Samburu,Kyle Cathie Limited,Viaggi
"Mariavittoria Carnovale, Aldo Chietera",Matera,Edizioni Giannatelli,Viaggi
Johan Beck-Friis,Il Cimitero Acattolico di Roma,Casa editrice ALLHM,Archeologia
Gino Montefinale,Cinque Terre e Porto Venere,Edizioni KINA ITALIA,Viaggi
Vari,Chingula e altre storie,Edizioni dell'Arco,Fiabe
Vari,Poeti Africani Anti Apartheid,Edizioni dell'Arco,Poesia
"Salvatore Colombo, Francesco Ticca",Guida di Dorgali e Cala Gonone,Editrice Archivio Fotografico Sardo,Viaggi
Laura Rangoni,Piatti Unici 500 ricette,Newton Compton Editori,Cucina
Alessandro Roccati,Museo Egizio di Torino,Istituto Poligrafico e Zecca dello Stato,Archeologia
"Elena Luraghi, Cinzia Rando",52 weekend da sogno,National Geographic,Viaggi
Vari,Elba tutte le spiagge,Gruppo editoriale Nove,Viaggi
Vari,Rosslyn Chapel,The Earl of Rosslyn,Viaggi
Vari,Il Castello di Edimburgo,Historic Scotland,Viaggi
Vari,The Burrel Collection,Harper Collins,Archeologia
Piero Gelli,Dizionario dell'Opera 2008,Baldini Castoldi Dalai,Musica
Vari,Brasile,Lonely Planet,Viaggi
"Marco Gustin, Mattia Brambilla, Claudio Celada","Conoscerli, Proteggerli",LIPU,Ambiente
Francesco Sinagra,Il Ghetto di Roma,Edizioni Gaia,Archeologia
Vari,Siena,Tempo Libero,Viaggi
Vari,Osterie d'Italia 2020,Slow Food Editore,Cucina
Vari,I Borghi più belli d'Italia,Società Editrice Romana,Viaggi
Roberto Calasso,Il Libro di Tutti i Libri,Adelphi,Saggi
Chris Knight,Il Ritratto Perfetto,Apogeo,Fotografia
"Corrado Augias, Giovanni Filoramo",Il Grande Romanzo dei Vangeli,Einaudi,Storia
Melania Gaia Mazzucco,L'Architettrice,Einaudi,Romanzo
James Redfield,La Profezia di Celestino,Corbaccio,Romanzo
Yuval Noah Harari,"Homo Deus, breve storia del futuro",Bompiani,Saggi
Vari,Come insultavano gli antichi Romani,Il melangolo,Archeologia
Valerio Massimo Manfredi,Antica Madre,Mondadori,Romanzo
Yuval Noah Harari,21 Lezioni per il XXI Secolo,Bompiani,Saggi
Heather Dune Macadam,Le 999 donne di Auschwitz,Newton Compton Editore,Romanzo
Hans Tuzzi,Al Vento dell'Oceano,Bollati Boringhieri,Romanzo
Franco Crivellari,Analisi statistica dei dati con R,Apogeo,Statistica
Dean Koontz,The Eyes of Darkness,Nkui Inc,Romanzo
Cesare Catananti,Il Vaticano Nella Tormenta,San Paolo,Storia
Albert Camus,La Peste,Bompiani,Romanzo
Stefano Gasparri,Italia Longobarda,Laterza,Storia
Ralf Rothmann,IL DIO DI UNA ESTATE,Neri Pozza editore,Romanzo
Federico De Roberto,I Vicerè,Mondadori,Romanzo
Richard Wrangham,Il Paradosso della Bontà,Bollati Boringhieri,Saggi
Mariapia Veladiano,Parole di scuola,Ugo Guanda Editore,Saggi
Cosmo Giacomo Sallustio Salvemini,Epuloni e Lazzari,europa edizioni,Saggi
Francesco Filippi,Mussolini ha fatto anche cose buone,La Repubblica,Saggi
Paolo Bonolis,Perchè parlavo da solo,Rizzoli,Autobiografico
Stefania Auci,I Leoni Di Sicila,NORD,Romanzo
Nicola Zamperini,Manuale di disobbedienza digitale,Castelvecchi,Saggi
Aldo Maria Valli,Come la Chiesa finì,Liberilibri,Romanzo
Curzio Malaparte,Il buonuomo Lenin,Adelphi,Saggi
Massimo Gaggi,Homo Premium,Laterza,Saggi
Giuliano Battiston,La sinistra che verrà,minimum fax,Saggi
Adriano Panzironi,Vivere 120 anni: Le Ricette,WTE editore,Cucina
Adriano Panzironi,Vivere 120 anni,WTE editore,Dieta
Seneca,Le Consolazioni,BUR,Classici
Sandra Evans,Menschen A1.1 kursbuch,Hueber,Lingue
Sandra Evans,Menschen A1.1 arbeitsbuch,Hueber,Lingue
Hans Scollo,DEUTSCHE GRAMMATIK FUR ITALIENER,GRAPHICS EDITORE,Lingue
"G. Espa, R. Micciolo",Analisi esplorativa dei dati con R,Maggioli editore,Statistica
Maurizio De Pra,Finalmente ho capito la Statistica,Vallardi,Statistica
Fernando Azervedo,3250 Acordes para violao,Bruno Quaino editores,Musica
Marc-Uwe Kling,Quality Land per ottimisti,Feltrinelli,Saggi
Philip Roth,L'Animale Morente,Einaudi,Romanzo
Philip Roth,Everyman,Einaudi,Romanzo
Luisa Giacoma - Susanne Kolb,Il Tedesco Smart,Zanichelli,Dizionari
Seneca,La tranquillità dell'anima,Acquarelli,Classici
Antonio Manzini,Ah l'amore l'amore,Sellerio,Romanzo
Erri De Luca,Il contrario di uno,Feltrinelli,Romanzo
Valerio Massimo Manfredi,Idi di Marzo,Mondadori,Storia
Corrado Augias,Breviario per un confuso presente,Einaudi,Saggi
Ian McEwan,L'Inventore di sogni,Einaudi,Racconti
Andrea Camilleri,Riccardino,sellerio,Romanzo
James Joyce,Gente di Dublino,La rana volante,Racconti
Jack London,Il tallone di ferro,Mondadori,Romanzo
Jack London,Il vagabondo delle stelle,Adelphi,Romanzo
Jack London,Il popolo dell'abisso,Mondadori,Romanzo
Antonio Manzini,Sull'orlo del precipizio,sellerio,Romanzo
"Erik Siegel, Adam Retter",eXist,O'REALLY,Informatica
Fernando Pessoa,Una Sola Moltitudine vol.1,Adelphi,Poesia
Andrea Camilleri,La danza del gabbiano,Sellerio,Romanzo
Andrea Camilleri,La caccia al tesoro,Sellerio,Romanzo
Giulio Cesare,Guerre in Gallia,Mondadori,Classici
Seneca,Sulla Felicità,BUR,Classici
John Maynard Keynes,"Teoria Generale dell'occupazione, dell'interesse e della moneta",UTET,Economia
Fabiano Massimi,L'Angelo di Monaco,Longanesi,Romanzo
Jack London,La Peste Scarlatta,Adelphi,Romanzo
Stuart Turton,Le sette morti dei Evelyn Headcastle,Neri Pozza,Gialli
Valérie Perrin,Cambiare l'acqua ai fiori,E/O,Romanzo
Paolo Berizzi,L'educazione di un fascista,Feltrinelli,Politica
Theodor W. Adorno,Aspetti del nuovo radicalismo di destra,Marsilio,Filosofia
Francesco Filippi,Ma perchè siamo ancora fascisti?,Bollati Boringhieri,Saggi
Antonio Scurati,M. Il figlio del secolo,Bompiani,Romanzo
Ernest Renan,Vita di Gesù,Amazon,Storia
Gunther Anders,L'Uomo è antiquato - 1,Bollati Boringhieri,Filosofia
Baruch Spinoza,Trattato teologico-politico,Einaudi,Filosofia
Gunther Anders,Noi figli di Eichmann,,Filosofia
Umberto Eco,Costruire il nemico,La Nave di Teseo,Saggi
Marcello Simoni,Il segreto del mercante di libri,Newton Compton,Romanzo
Carlo Alberto Orlandi,Gli archivi segreti della sezione M - V,tre60,Racconti
Massimo Recalcati,La tentazione del muro,Feltrinelli,Saggi
Massimo Recalcati,Il gesto di Caino,Einaudi,Saggi
Mary L. Trump,Too much and Never Enough,Simon & Shuster,Biografia
Antonio Manzini,Gli ultimi giorni di quiete,Sellerio,Romanzo
Massimo Bavastro,Io ti cercherò,Longanesi,Romanzo
Ken Follet,Fu sera e fu mattina,Mondadori,Romanzo
Walter Veltroni,Buonvino e il caso del bambino scomparso,Marsilio,Romanzo
IELTS manuale di preparazione,Anthony Zambonini,Alpha Test,Lingue
"G.Alfano, P.Italia, E.Russo, F.Tomasi",Letteratura italiana 2° volume,Mondadori,Letteratura
Sting,Broken Music,Dial Press Trade Paperbacks,Autobiografico
Gasparini - Mirri,Dispositivi e circuiti elettronici Vol.1,Calderini,Elettronica
Gasparini - Mirri,Dispositivi e circuiti elettronici Vol.2,Calderini,Elettronica
Franco Malenza,La patente da Radioamatore,ed. I.E.,Elettronica
Scott Hacker,The BeOS Bible,Peachpit Press,Informatica
Nuova Elettronica,Schemario Kit 1990,Nuova Elettronica,Elettronica
Camerapix,The spectrum Guide to Kenya,Camerapix,Viaggi
Valerio Massimo Manfredi,Quaranta giorni,Mondadori,Romanzo
"G.Alfano, P.Italia, E.Russo, F.Tomasi",Letteratura italiana 1° volume,Mondadori,Letteratura
Philippe Daverio,Quattro conversazioni sull'Europa,Rizzoli,Saggi
Mimmo Franzinelli,Storia della Repubblica Sociale Italiana,Laterza,Storia
Carlo Rovelli,Helgoland,Adelphi,Fisica
Joseph Tritto,Cina Covid-19,Cantagalli,Attualita
Lannutti E. Alterio T. Fracasso F.,I Conquistatori,,Saggi
"F. Fracassi, T. Alterio",Colpo si Stato,,Saggi
Tiziana Alterio,La Guerra Silenziosa,,Saggi
Lia Tagliacozzo,La generazione del deserto,MANNI,Romanzo
Papa Francesco,Ritorniamo a sognare,PIEMME,Religione
Roberto Calasso,Come ordinare una biblioteca,Adelphi,Saggi
Victor Hugo,Notre-Dame de Paris,Feltrinelli,Romanzo
Gaetano Salvemini,Mussolini diplomatico,Donzelli Editore,Saggi
Umberto Galimberti,I miti del nostri tempo,Feltrinelli,Saggi
Umberto Galimberti,L'ospite inquietante,Feltrinelli,Saggi
Victor Hugo,I Miserabili Vol. 1,Einaudi,Romanzo
Victor Hugo,I Miserabili Vol. 2,Einaudi,Romanzo
Friederich A. von Hayek,Liberalismo,Rubbettino,Saggi
Maurizio De Giovanni,Rondini d'Inverno,Einaudi,Romanzo
Maurizio De Giovanni,Il purgatorio dell'angelo,Einaudi,Romanzo
Benjamin Labatut,Quando abbiamo smesso di capire il mondo,Adelphi,Saggi
Alessandro Barbero,Dante,Laterza,Storia
Dante Alighieri,Vita Nuova,Garzanti,Letteratura
Eric Lomax,The Railway Man,Vintage Books,Romanzo
Dante Alighieri,La Divina Commedia,Hoepli,Letteratura
Alessandro Barbero,Alabama,Sellerio,Romanzo
Andrea Camilleri,La Pensione Eva,Sellerio,Romanzo
