Autore,Titolo,Editore,Classificazione
"Sandro Pertini, P. Pierri",Gli uomini per essere liberi,Add Editore,Politica
vuoto,GLOBUS Enciclopedia dei paesi e degli itinerari: Stati Uniti e Canada,Mondadori,Viaggi
Roberto Saviano,Gomorra. Viaggio nell'impero economico e nel sogno di dominio della camorra,Mondadori,Sociologia
Elisabetta Perini,Grammatica italiana per tutti,Giunti Editore,Lingue
Angelo D'Orsi,Gramsci. Una nuova biografia,Feltrinelli,Politica
Erri De Luca,La Natura Esposta,Feltrinelli,Romanzo
Andrea Camilleri,Gran circo Taddei e altre storie di Vigàta,Sellerio Editore Palermo,Romanzo
Clotilde Vesco,Guida alla cucina etrusca. Cibi e divertimenti in Etruria,scipioni,Cucina
J.K. Rowling,Harry Potter and the Deathly Hallows,Bloomsbury Publishing PLC,Romanzo
Joanne K. Rowling,Harry Potter e la maledizione dell'erede,Salani Editore S.P.a.,Romanzo
June Newton,Helmut Newton,Taschen America Llc,Fotografia
Philippe Daverio,Ho finalmente capito l'Italia. Piccolo trattato ad uso degli stranieri (e degli italiani),Arte,Sociologia
Carlo S. Capogreco,I campi del Duce. L'internamento civile nell'Italia fascista (1940-1943),Einaudi,Storia
Renato Mammucari,I castelli romani. Un viaggio nello spazio e nel tempo,LuoghInteriori,Viaggi
"Ian Sidaway, L. Bises",I colori. Come mescolarli per ottenere le tinte desiderate,Tecniche Artistiche,Arte
"Glenn Cooper, G. Arduino",I custodi della biblioteca,Nord,Romanzo
"Marco Consentino, Domenico Dodaro, Luigi Panella",I fantasmi dell'Impero,Sellerio Editore Palermo,Romanzo
"Gina Buonaguro, Janice Kirk, S. D'Ovidio",I lupi del Vaticano,Newton Compton,Romanzo
Simon Cox,"I segreti del Codice da Vinci. Guida non autorizzata a fatti, personaggi e misteri del Codice da Vinci",L'Et? dell'Acquario,Narrativa
Gill Barron,I segreti dell'acrilico,Disegno E Tecniche Pittoriche,Arte
Corrado Augias,I Segreti di Londra,Mondadori,Viaggi
Giulia Fiore Coltellacci,I segreti tecnologici degli antichi romani,Newton Compton,Storia
Alberto Bevilacqua,I sensi incantati,Mondadori,Romanzo
Andrea Camilleri,I sogni di Andrea Camilleri,Fuori Collana,Narrativa
Barack Obama,I sogni di mio padre. Un racconto sulla razza e l'eredit,Nutrimenti,Politica
"Alessandro Bongiovanni, Maria Sole Croce",I Tesori dell'Antico Egitto,White Star,Archeologia
Alberto Angela,"I tre giorni di Pompei: 23-25 ottobre 79 d. C. Ora per ora, la più grande tragedia dell'antichit",Rizzoli,Storia
Caroline Taggart,I Used to Know That: A Classical Education,Michael O Mara Publications,Lingue
Patrick Scrivenor,I Used to Know That: English,Michael O Mara Publications,Lingue
Marianne Taylor,I Used to Know That: General Science,Michael O'Mara Books Ltd,Lingue
M. Craveri,I vangeli apocrifi,Einaudi,Religione
Matilde Asensi,Iacobus,Sonzogno,Romanzo
vuoto,Il Broglio,vuoto,Narrativa
Khaled Hosseini,Il Cacciatore Di Aquiloni,Piemme,Romanzo
"Glenn Cooper, R. Zuppet",Il calice della vita,Nord,Romanzo
Andrea Camilleri,Il campo del vasaio,Sellerio Editore Palermo,Romanzo
Umberto Eco,Il cimitero di Praga,Bompiani,Romanzo
Doris Lessing,Gatti molto speciali,Feltrinelli,Romanzo
"Daniel Estulin, M. Zanarini",Il club Bilderberg. La storia segreta dei padroni del mondo,Arianna Editrice,Sociologia
Dan Brown,Il Codice Da Vinci,Mondadori,Romanzo
Andrea Camilleri,Il colore del sole,Mondadori,Romanzo
aa.vv.,Il Corano,Libritalia,Religione
Wilbur Smith,Il destino del cacciatore,Longanesi,Romanzo
Wilbur Smith,Il destino del leone,Tea,Romanzo
Andrea Camilleri,"Il diavolo, certamente",Mondadori,Romanzo
"Wilbur Smith, R. Rambelli",Il dio del fiume,La Gaja Scienza,Romanzo
Stefano Rodot,Il diritto di avere diritti,Laterza,Diritto
Corrado Augias,Il disagio della libertà. Perchè agli italiani piace avere un padrone,Rizzoli,Sociologia
"Siegfried Lenz, R. Cravero",Il disertore,Neri Pozza,Romanzo
T.K.V. Desikachar,Il Cuore dello Yoga,Ubaldini Editore Roma,Benessere
Boris Pasternak,Il Dottor Zivago,Feltrinelli,Romanzo
Christian Jacq,Il Faraone Nero,Mondadori,Romanzo
Dieter Schlesak,Il farmacista di Auschwitz,Garzanti Libri,Romanzo
Christian Jacq,Il Figlio Della Luce (Italian Edition),Mondadori,Romanzo
Giuseppe Tomasi di Lampedusa,Il Gattopardo,Feltrinelli Traveller,Romanzo
Giorgio Bassani,Il giardino dei Finzi-Contini,Feltrinelli,Romanzo
Andrea Camilleri,Il gioco degli specchi,Sellerio di Giorgianni,Romanzo
Carlos Ruiz Zafon,Il gioco dell'angelo,Mondadori,Romanzo
Andrea Camilleri,Il giro di boa,Sellerio Editore Palermo,Romanzo
"Philip Whitfield, I.C.J. Galbraith",Il grande libro degli uccelli,Vallardi,Viaggi
